42.25614,-83.74882
42.25615,-83.74862
42.2564,-83.74863
42.25643,-83.74825
42.25602,-83.7482
42.25604,-83.74852
42.25604,-83.7488
42.25614,-83.74882

42.30886,-83.76781
42.3089,-83.76672
42.30844,-83.76648
42.30843,-83.76789
42.30886,-83.76781

42.29894,-83.78318
42.29895,-83.78272
42.29874,-83.78271
42.29844,-83.78271
42.29844,-83.78317
42.29894,-83.78318

42.27549,-83.79456
42.27437,-83.79258
42.27438,-83.79081
42.27324,-83.79078
42.27362,-83.79383
42.27438,-83.79385
42.2745,-83.79453
42.27549,-83.79456

42.27405,-83.79516
42.27402,-83.79437
42.2739,-83.79436
42.27388,-83.79448
42.2737,-83.79447
42.2738,-83.79517
42.27405,-83.79516

42.28995,-83.79957
42.29032,-83.7986
42.29092,-83.79763
42.29034,-83.79471
42.29119,-83.79477
42.29126,-83.7944
42.2922,-83.79448
42.29222,-83.7943
42.29256,-83.79428
42.29256,-83.79399
42.29312,-83.79325
42.29355,-83.79382
42.29401,-83.79316
42.29347,-83.79247
42.29344,-83.79203
42.29303,-83.79202
42.29308,-83.79109
42.29963,-83.79142
42.29967,-83.78963
42.29664,-83.78419
42.29723,-83.78426
42.29724,-83.78367
42.29671,-83.78366
42.29673,-83.78313
42.29642,-83.78311
42.29633,-83.78172
42.29681,-83.78179
42.29679,-83.78268
42.29759,-83.78271
42.29761,-83.78188
42.29846,-83.78188
42.29844,-83.78097
42.29937,-83.78098
42.29939,-83.78005
42.3,-83.78005
42.30082,-83.77643
42.30068,-83.77428
42.30082,-83.7737
42.30128,-83.77605
42.30175,-83.77608
42.30226,-83.78048
42.30263,-83.78086
42.30297,-83.78086
42.30298,-83.7811
42.30794,-83.78132
42.30815,-83.77385
42.3121,-83.77411
42.3122,-83.77192
42.31518,-83.77228
42.31518,-83.77128
42.31489,-83.77084
42.31529,-83.76621
42.31418,-83.76426
42.31236,-83.76181
42.30816,-83.76159
42.30818,-83.76064
42.3094,-83.76069
42.30942,-83.75981
42.31064,-83.7579
42.31155,-83.75962
42.31318,-83.76197
42.31461,-83.76247
42.31479,-83.76334
42.31544,-83.76368
42.31597,-83.76518
42.31671,-83.76868
42.31693,-83.76919
42.31714,-83.76932
42.31732,-83.7715
42.31802,-83.77157
42.31935,-83.77134
42.31938,-83.77073
42.31886,-83.7672
42.31866,-83.76681
42.3189,-83.76516
42.31866,-83.76399
42.31891,-83.76236
42.31857,-83.76219
42.31731,-83.76089
42.31639,-83.76071
42.31601,-83.7603
42.31535,-83.75792
42.31493,-83.75452
42.31425,-83.75285
42.31336,-83.75246
42.31253,-83.75252
42.31062,-83.75225
42.30973,-83.75235
42.3093,-83.75193
42.30938,-83.75155
42.30915,-83.75197
42.30931,-83.75236
42.30919,-83.75258
42.30893,-83.75269
42.30859,-83.7526
42.30836,-83.75143
42.30805,-83.75119
42.30758,-83.75429
42.30314,-83.74785
42.30346,-83.74773
42.30339,-83.74645
42.30418,-83.74642
42.3043,-83.74628
42.30476,-83.74642
42.30486,-83.74455
42.30457,-83.74429
42.30359,-83.74498
42.30342,-83.74413
42.30391,-83.74406
42.30409,-83.74374
42.30566,-83.74242
42.30584,-83.74245
42.30584,-83.743
42.3062,-83.74273
42.30637,-83.74211
42.30874,-83.74279
42.30875,-83.74304
42.309,-83.74301
42.31013,-83.74268
42.31241,-83.74135
42.31241,-83.74116
42.31291,-83.74116
42.31296,-83.73771
42.31312,-83.73744
42.31333,-83.73452
42.31618,-83.73411
42.31989,-83.7353
42.32218,-83.7246
42.32285,-83.72021
42.32366,-83.71316
42.32397,-83.71261
42.31129,-83.71218
42.31147,-83.71027
42.3121,-83.71026
42.31251,-83.71049
42.31247,-83.71103
42.31206,-83.71101
42.312,-83.71154
42.31328,-83.7116
42.31344,-83.70753
42.32283,-83.70783
42.3228,-83.70261
42.32374,-83.70258
42.32343,-83.6968
42.32255,-83.69397
42.32161,-83.69246
42.32025,-83.69107
42.31729,-83.68923
42.31513,-83.6883
42.31403,-83.68805
42.31405,-83.68768
42.31171,-83.68731
42.3029,-83.68693
42.30289,-83.68737
42.30308,-83.68774
42.30286,-83.68792
42.3021,-83.68775
42.30192,-83.68749
42.30121,-83.6873
42.30102,-83.68706
42.29998,-83.68675
42.29995,-83.68659
42.29849,-83.68604
42.29697,-83.68511
42.29588,-83.68485
42.29587,-83.68415
42.29488,-83.68305
42.29367,-83.68276
42.29212,-83.68272
42.2922,-83.68186
42.29375,-83.68172
42.29193,-83.67951
42.29067,-83.67829
42.28945,-83.67744
42.28804,-83.67675
42.2861,-83.67626
42.27887,-83.67606
42.27878,-83.67638
42.27741,-83.67666
42.27673,-83.67702
42.27566,-83.67811
42.27554,-83.67842
42.27478,-83.67844
42.27472,-83.6789
42.2744,-83.67884
42.27437,-83.67814
42.27412,-83.67758
42.27354,-83.67718
42.27363,-83.67655
42.27234,-83.67588
42.26902,-83.67581
42.2686,-83.6781
42.26813,-83.67794
42.26851,-83.67892
42.26814,-83.68142
42.26773,-83.6815
42.26691,-83.68204
42.26645,-83.68192
42.2658,-83.68222
42.26548,-83.68207
42.26503,-83.68213
42.26483,-83.68029
42.26393,-83.68129
42.26368,-83.68125
42.26265,-83.68047
42.26173,-83.68173
42.26211,-83.68184
42.26189,-83.68224
42.26112,-83.68305
42.26038,-83.68357
42.2589,-83.6841
42.25889,-83.68451
42.25785,-83.6848
42.25636,-83.68601
42.25283,-83.68588
42.25293,-83.68213
42.25239,-83.68282
42.25156,-83.68309
